source	creator	date	title	identifier	publisher
http://obvil.github.io/critique2000/tei/bpt6k1024z.xml	Hauvette, Henri (1865-1935)	1922	Études sur la Divine Comédie : la composition du poème et son rayonnement / Henri Hauvette	http://gallica.bnf.fr/ark:/12148/bpt6k1024z	E. Champion (Paris)
http://obvil.github.io/critique2000/tei/bpt6k10258.xml	Hauvette, Henri (1865-1935)	1927	L'Arioste et la poésie chevaleresque à Ferrare au début du XVIe siècle (2e éd.) / par Henri Hauvette	http://gallica.bnf.fr/ark:/12148/bpt6k10258	E. Champion (Paris)
http://obvil.github.io/critique2000/tei/bpt6k104037z.xml	Chasles, Philarète (1798-1873)	1876	Voyages d'un critique à travers la vie et les livres : l'Angleterre littéraire	http://gallica.bnf.fr/ark:/12148/bpt6k104037z	Charpentier (Paris)
http://obvil.github.io/critique2000/tei/bpt6k104046x.xml	Meyer, Arthur (1844-1924)	1912	Ce que je peux dire ; La dame aux violettes ; Salons d'hier et d'aujourd'hui ; La comtesse de Loynes ; Vers la mort / Arthur Meyer	http://gallica.bnf.fr/ark:/12148/bpt6k104046x	Plon-Nourrit (Paris)
http://obvil.github.io/critique2000/tei/bpt6k1067513.xml	Barbier, Auguste (1805-1882)	1883	Oeuvres posthumes de Auguste Barbier,.... T. 3 / rev. et mises en ordre par MM. A. Lacaussade et E. Grenier	http://gallica.bnf.fr/ark:/12148/bpt6k1067513	E. Dentu (Paris)
http://obvil.github.io/critique2000/tei/bpt6k106752g.xml	Barbier, Auguste (1805-1882)	1883	Oeuvres posthumes de Auguste Barbier,.... T. 4 / rev. et mises en ordre par MM. A. Lacaussade et E. Grenier	http://gallica.bnf.fr/ark:/12148/bpt6k106752g	E. Dentu (Paris)
http://obvil.github.io/critique2000/tei/bpt6k107046r.xml	Hippeau, Célestin (1803-1883)	1866	L'Italie en 1865 : souvenir d'une mission à Florence, à l'occasion du 600e anniversaire de Dante / par C. Hippeau	http://gallica.bnf.fr/ark:/12148/bpt6k107046r	F. Le Blanc-Hardel (Caen)
http://obvil.github.io/critique2000/tei/bpt6k107088w.xml	Vogüé, Eugène-Melchior de (1848-1910)	1898	Histoire et poésie : au Mont-Cassin, à Ravenne, Catherine Sforza, le cardinal d'Ossat, le Moyen-âge, Jean-Jacques Rousseau, Robinson Crusoé, Gabriel d'Annunzio / Vte E.-M. de Vogüé,...	http://gallica.bnf.fr/ark:/12148/bpt6k107088w	A. Colin (Paris)
http://obvil.github.io/critique2000/tei/bpt6k1077356.xml	Coutance, Amédée-Guillaume-Auguste (1824-1895)	1882	La Fontaine et la philosophie naturelle / par A. Coutance,...	http://gallica.bnf.fr/ark:/12148/bpt6k1077356	C. Reinwald (Paris)
http://obvil.github.io/critique2000/tei/bpt6k1078679.xml	Babou, Hippolyte (1823-1878)	1857	La vérité sur le cas de M. Champfleury / Hippolyte Babou	http://gallica.bnf.fr/ark:/12148/bpt6k1078679	Poulet-Malassis et de Broise (Paris)
http://obvil.github.io/critique2000/tei/bpt6k1078692.xml	Baju, Anatole (1861-1903)	1887	L'école décadente / Anatole Baju	http://gallica.bnf.fr/ark:/12148/bpt6k1078692	L. Vanier (Paris)
http://obvil.github.io/critique2000/tei/bpt6k107902n.xml	Levallois, Jules (1829-1903)	1895	Mémoires d'un critique : milieu de siècle / par Jules Levallois	http://gallica.bnf.fr/ark:/12148/bpt6k107902n	Librairie illustrée (Paris)
http://obvil.github.io/critique2000/tei/bpt6k107917w.xml	Racot, Adolphe (1840-1887)	1887	Portraits d'aujourd'hui / Adolphe Racot	http://gallica.bnf.fr/ark:/12148/bpt6k107917w	Librairie illustrée (Paris)
http://obvil.github.io/critique2000/tei/bpt6k1079188.xml	Racot, Adolphe (1840-1887)	1887	Portraits d'hier / Adolphe Racot	http://gallica.bnf.fr/ark:/12148/bpt6k1079188	librairie illustrée (Paris)
http://obvil.github.io/critique2000/tei/bpt6k1080071.xml	Grimm, Friedrich Melchior (1723-1807)	1753	Le petit prophète de Boehmischbroda. Le correcteur des bouffons. La guerre de l'Opéra	http://gallica.bnf.fr/ark:/12148/bpt6k1080071	[s.n.]
http://obvil.github.io/critique2000/tei/bpt6k1081182.xml	Bloy, Léon (1846-1917)	1905	Belluaires et porchers / Léon Bloy	http://gallica.bnf.fr/ark:/12148/bpt6k1081182	P.-V. Stock (Paris)
http://obvil.github.io/critique2000/tei/bpt6k108144k.xml	Chabanon, Michel Paul Guy de (1730-1792)	1764	Sur le sort de la poésie en ce siècle philosophe / par M. Chabanon,...	http://gallica.bnf.fr/ark:/12148/bpt6k108144k	impr. de Sébastien Jorry (A Paris)
http://obvil.github.io/critique2000/tei/bpt6k108145z.xml	Chabanon, Michel Paul Guy de (1730-1792)	1773	Vie du Dante : avec une notice détaillée de ses ouvrages / par M. de Chabanon,...	http://gallica.bnf.fr/ark:/12148/bpt6k108145z	chez Lacombe (A Amsterdam)
http://obvil.github.io/critique2000/tei/bpt6k108193x.xml	Merlant, Joachim (1875-1919)	1905	Le roman personnel de Rousseau à Fromentin / Joachim Merlant,...	http://gallica.bnf.fr/ark:/12148/bpt6k108193x	Hachette (Paris)
http://obvil.github.io/critique2000/tei/bpt6k1081949.xml	Merlant, Joachim (1875-1919)	1907	Sénancour : (1770-1846) : poète, penseur religieux et publiciste : sa vie, son oeuvre, son influence : documents inconnus ou inédits / Joachim Merlant	http://gallica.bnf.fr/ark:/12148/bpt6k1081949	Fischbacher (Paris)
http://obvil.github.io/critique2000/tei/bpt6k1084782.xml	Desnoiresterres, Gustave Le Brisoys (1817-1892)	1877	Grimod de La Reynière et son groupe : d'après des documents entièrement inédits / par Gustave Desnoiresterres	http://gallica.bnf.fr/ark:/12148/bpt6k1084782	Didier (Paris)
http://obvil.github.io/critique2000/tei/bpt6k1087780.xml	Jullien, Adolphe (1845-1932)	1896	Musique : mélanges d'histoire et de critique musicale et dramatique / Adolphe Jullien	http://gallica.bnf.fr/ark:/12148/bpt6k1087780	Librairie de l'art (Paris)
http://obvil.github.io/critique2000/tei/bpt6k1087856.xml	La Porte, Joseph de (1714-1779)	1776	Dictionnaire dramatique, contenant l'histoire des théâtres, les règles du genre dramatique, les observations des maîtres les plus célèbres et des réflexions nouvelles sur les spectacles.... T. 1 / [par l'abbé Jos. de La Porte et S.-R.-N. Chamfort]	http://gallica.bnf.fr/ark:/12148/bpt6k1087856	Lacombe (Paris)
http://obvil.github.io/critique2000/tei/bpt6k108786k.xml	La Porte, Joseph de (1714-1779)	1776	Dictionnaire dramatique, contenant l'histoire des théâtres, les règles du genre dramatique, les observations des maîtres les plus célèbres et des réflexions nouvelles sur les spectacles.... T. 2 / [par l'abbé Jos. de La Porte et S.-R.-N. Chamfort]	http://gallica.bnf.fr/ark:/12148/bpt6k108786k	Lacombe (Paris)
http://obvil.github.io/critique2000/tei/bpt6k108787z.xml	La Porte, Joseph de (1714-1779)	1776	Dictionnaire dramatique, contenant l'histoire des théâtres, les règles du genre dramatique, les observations des maîtres les plus célèbres et des réflexions nouvelles sur les spectacles.... T. 3 / [par l'abbé Jos. de La Porte et S.-R.-N. Chamfort]	http://gallica.bnf.fr/ark:/12148/bpt6k108787z	Lacombe (Paris)
http://obvil.github.io/critique2000/tei/bpt6k1088577.xml	Vacquerie, Auguste (1819-1895)	1872	Mes premières années de Paris / Auguste Vacquerie	http://gallica.bnf.fr/ark:/12148/bpt6k1088577	Michel Lévy frères (Paris)
http://obvil.github.io/critique2000/tei/bpt6k109079g.xml	Biré, Edmond (1829-1907)	1890	Causeries littéraires / Edmond Biré	http://gallica.bnf.fr/ark:/12148/bpt6k109079g	Vitte et Perrussel (Lyon)
http://obvil.github.io/critique2000/tei/bpt6k109080d.xml	Biré, Edmond (1829-1907)	1927	Dernières causeries historiques et littéraires (4e éd.) / Edmond Biré	http://gallica.bnf.fr/ark:/12148/bpt6k109080d	E. Vitte (Lyon)
http://obvil.github.io/critique2000/tei/bpt6k109260b.xml	Silvestre, Armand (1837-1901)	1891	Portraits et souvenirs, 1886-1891 / Armand Silvestre	http://gallica.bnf.fr/ark:/12148/bpt6k109260b	Charpentier (Paris)
